job_id,title,date_posted,first_seen,last_seen,location,industry,employer,employment_type,salary,url,html_file,json_file,description_length,scraped_at,status
24961,Gym Attendant,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Sport,The Royal Papua Yacht Club,Full-Time,",",https://www.pngworkforce.com/jobs/view/gym-attendant/24961,html_output/job_24961.html,json_output/job_24961.json,2522,2025-10-31T16:23:46.625874,success
24960,Operations Control Officer,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Airline / Airport / Travel, Operations Support",PNG Air Limited,,",",https://www.pngworkforce.com/jobs/view/operations-control-officer/24960,html_output/job_24960.html,json_output/job_24960.json,3866,2025-10-31T16:23:49.822931,success
24959,Load Control Officer,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Airline / Airport / Travel,PNG Air Limited,,",",https://www.pngworkforce.com/jobs/view/load-control-officer/24959,html_output/job_24959.html,json_output/job_24959.json,2496,2025-10-31T16:23:52.156385,success
24958,Diamond Driller,31/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"Eastern Highlands, Eastern Highlands","Mining, Oil and Gas, Mining, Oil and Gas",K92 Mining Inc.,Permanent,",",https://www.pngworkforce.com/jobs/view/diamond-driller-surface/24958,html_output/job_24958.html,json_output/job_24958.json,2819,2025-10-31T16:23:55.225796,success
24957,"LOGISTICS OFFICER, West New Britain Province (Kimbe)",22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,West New Britain,"Logistics, Transport and Supply",Bismark Maritime Limited,,",",https://www.pngworkforce.com/jobs/view/logistics-officer-west-new-britain-province-kimbe/24957,html_output/job_24957.html,json_output/job_24957.json,2139,2025-10-31T16:23:58.355430,success
24956,Administration & Logistics Officer,22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Western (Fly),"Administration / Office Support, Logistics, Transport and Supply, Procurement / Purchasing",World Vision PNG,Contract,",",https://www.pngworkforce.com/jobs/view/administration-logistics-officer/24956,html_output/job_24956.html,json_output/job_24956.json,5382,2025-10-31T16:24:01.500928,success
24955,Facilities and Vehicles Manager,22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Western Highlands,"Construction, Building and Architecture",PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/facilities-and-vehicles-manager/24955,html_output/job_24955.html,json_output/job_24955.json,2418,2025-10-31T16:24:04.657367,success
24954,Blow Mould Operator,22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,FMCG,Goodman Fielder,,",",https://www.pngworkforce.com/jobs/view/blow-mould-operator/24954,html_output/job_24954.html,json_output/job_24954.json,4241,2025-10-31T16:24:07.006730,success
24953,General Manager Corporate Services,22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Executive,PeopleConnexion,Full-Time,",",https://www.pngworkforce.com/jobs/view/general-manager-corporate-services/24953,html_output/job_24953.html,json_output/job_24953.json,4712,2025-10-31T16:24:10.190212,success
24951,Provincial Coordinator – ENB,22/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,East New Britain,Non Government Organisations (NGOs),Save the Children,,",",https://www.pngworkforce.com/jobs/view/provincial-coordinator-enb/24951,html_output/job_24951.html,json_output/job_24951.json,10000,2025-10-31T16:24:12.542635,success
